about,brand,image,link,price,title
"45.7 megapixel FX-format CMOS sensor,Dual Expeed 6 processor,Dual card slots,4K/60P video recording,Fully sealed magnesium alloy body",Nikon,https://i.jessops.com/ce-images/product/product_enlarged/anikocm175367528.jpg,https://www.jessops.com/p/Nikon/Z-7II-Mirrorless-Camera-Body-191384,"£2,799.00",Nikon Z 7II Mirrorless Camera Body
"Great for vlogging and streaming,24.1 megapixel APS-C sensor,4K and Vertical Movie modes,60p Full HD Movie with Dual Pixel AF,10 fps shooting",Canon,https://i.jessops.com/ce-images/product/product_enlarged/acanocm185370681.jpg,https://www.jessops.com/p/Canon/EOS-M50-Mark-II-Mirrorless-Camera-in-Black-with-EF-M-18-150mm-Lens-194178,£849.00,Canon EOS M50 Mark II Mirrorless Camera in Black with EF-M 18-150mm Lens
"26.2MP full frame sensor,Compact and lightweight,Dual Pixel CMOS AF,4K video recording,Digic 8 processor",Canon,https://i.jessops.com/ce-images/product/product_enlarged/acanocm185362433.jpg,https://www.jessops.com/p/Canon/EOS-RP-Mirrorless-Camera-with-RF-24-105mm-IS-STM-Lens-187079,"£1,329.00",Canon EOS RP Mirrorless Camera with RF 24-105mm IS STM Lens
"40MP X-Trans5 BSI Imaging Sensor,8K/30P video,Up to 7 stops Internal Body Image Stabilisation,15 frames per second shooting,160MP pixel shift multi shot",Fujifilm,https://i.jessops.com/ce-images/product/product_enlarged/afujicm175379487.jpg,https://www.jessops.com/p/Fujifilm/X-H2-Mirrorless-Camera-Body-201576,"£1,899.00",Fujifilm X-H2 Mirrorless Camera Body
"42.4 megapixels,Full frame Exmor R CMOS sensor,Continuous shooting up to 10fps,399 phase-detection AF points,5-axis optical in-body image stabilization",Sony,https://i.jessops.com/ce-images/product/product_enlarged/asonycm175310005.jpg,https://www.jessops.com/p/Sony/a7R-III-A-Mirrorless-Camera-Body-134212,"£1,999.00",Sony a7R III A Mirrorless Camera Body
"24.2 megapixel Exmor CMOS,Super-fast 0.02 seconds AF,Advanced Real-time Eye AF,4K movie recording,180 degree tiltable LCD touch screen",Sony,https://i.jessops.com/ce-images/product/product_enlarged/asonycm195339431.jpg,https://www.jessops.com/p/Sony/A6400-Mirrorless-Camera-Body-167106,£849.00,Sony A6400 Mirrorless Camera Body
"24.3 MP full frame CMOS sensor,Tough and lightweight magnesium body,5-axis image stabilisation,4K video recording,Dual card slot",Nikon,https://i.jessops.com/ce-images/product/product_enlarged/anikocm175365510.jpg,https://www.jessops.com/p/Nikon/Z-5-Mirrorless-Camera-with-Nikkor-Z-24-50mm-f4-6.3-lens-189872,"£1,349.00",Nikon Z 5 Mirrorless Camera with Nikkor Z 24-50mm f/4-6.3 lens
"40MP X-Trans5 BSI Imaging Sensor,8K/30P video,Up to 7 stops Internal Body Image Stabilisation,15 frames per second shooting,160MP pixel shift multi shot",Fujifilm,https://i.jessops.com/ce-images/product/product_enlarged/afujicm175379488.jpg,https://www.jessops.com/p/Fujifilm/X-H2-Mirrorless-Camera-with-XF16-80mm-F4-R-WR-Lens-201577,"£2,299.00",Fujifilm X-H2 Mirrorless Camera with XF16-80mm F4 R WR Lens
"Ideal for vlogging and streaming,4K video and Full HD slow motion,Sony GP-VPT2BT Wireless Grip,Sony ECM-W2BT Wireless Microphone,High quality sound with directional microphone",Sony,https://i.jessops.com/ce-images/product/product_enlarged/csonycm195373378.jpg,https://www.jessops.com/p/Sony/ZV-E10-Mirrorless-Vlogger-Camera-with-16-50mm-Lens-Creator-Kit-196442,£948.00,Sony ZV-E10 Mirrorless Vlogger Camera with 16-50mm Lens Creator Kit
"For photographers and videographers alike,24.2MP full-frame Exmor R Sensor,Full-frame 4K movie recording,ISO 50-204800,5-axis image stabilisation",Sony,https://i.jessops.com/ce-images/product/product_enlarged/asonycm175341540.jpg,https://www.jessops.com/p/Sony/a7-III-Mirrorless-Camera-with-FE-24-105mm-f4-G-Lens-168897,"£2,649.00",Sony a7 III Mirrorless Camera with FE 24-105mm f/4 G Lens
"Full frame 24.2 megapixel CMOS sensor,Dual Pixel CMOS AF II,Up to 8-stop Image Stabiliser,Oversampled 4K 60p video or 6K RAW,40fps electronic shutter",Canon,https://i.jessops.com/ce-images/product/product_enlarged/acanocm195380051.jpg,https://www.jessops.com/p/Canon/EOS-R6-Mark-II-Mirrorless-Camera-with-RF-24-105-F4L-IS-USM-Lens-202111,"£3,999.00",Canon EOS R6 Mark II Mirrorless Camera with RF 24-105 F4L IS USM Lens
"20MP Live Mos Sensor,5x Axis Image Stabilsation,Flip down Touch Screen LCD,4K movies,Up to 15x FPS seqential shooting",Olympus,https://i.jessops.com/ce-images/product/product_enlarged/aolymcm185371866.jpg,https://www.jessops.com/p/Olympus/OM-D-E-M10-Mark-IV-Mirrorless-Camera-in-Silver-with-14-42mm-F3.5-5.6-Lens-195206,£749.00,Olympus OM-D E-M10 Mark IV Mirrorless Camera in Silver with 14-42mm F/3.5-5.6 Lens
"Small and lightweight camera body,26.1 MP X-Trans CMOS 4 and X-Processor 4,4k/30p video recording,3-inch 180 degree Tilting LCD touchscreen,18 Film Simulation modes",Fujifilm,https://i.jessops.com/ce-images/product/product_enlarged/afujicm175370104.jpg,https://www.jessops.com/p/Fujifilm/X-E4-Mirrorless-Camera-in-Silver-with-XF27mm-F2.8-R-WR-Lens-193629,£949.00,Fujifilm X-E4 Mirrorless Camera in Silver with XF27mm F2.8 R WR Lens
"20.1 megapixel full frame CMOS sensor,Up to 20 fps,Up to 8-stop image stabilisation,4K video recording,ISO 102400",Canon,https://i.jessops.com/ce-images/product/product_enlarged/acanocm195365325.jpg,https://www.jessops.com/p/Canon/EOS-R6-Mirrorless-Camera-with-RF-24-105mm-F4-7.1-IS-STM-Lens-189726,"£2,729.00",Canon EOS R6 Mirrorless Camera with RF 24-105mm F4-7.1 IS STM Lens
"Ideal for vlogging and streaming,Vari-Angle touch screen for vlogging,Face autoexposure to keep your face bright,4K video and Full HD slow motion,High quality sound with directional microphone",Sony,https://i.jessops.com/ce-images/product/product_enlarged/asonycm195373355.jpg,https://www.jessops.com/p/Sony/ZV-E10-Mirrorless-Vlogger-Camera-Body-196424,£679.00,Sony ZV-E10 Mirrorless Vlogger Camera Body
"Great for vlogging and streaming,24.1 megapixel APS-C sensor,4K and Vertical Movie modes,60p Full HD Movie with Dual Pixel AF,10 fps shooting",Canon,https://i.jessops.com/ce-images/product/product_enlarged/acanocm185370680.jpg,https://www.jessops.com/p/Canon/EOS-M50-Mark-II-Mirrorless-Camera-in-Black-with-EF-M-15-45mm-Lens-194177,£699.00,Canon EOS M50 Mark II Mirrorless Camera in Black with EF-M 15-45mm Lens
"26.1MP X-Trans CMOS 4 sensor,High speed X-Processor 4 processing engine,4K/30P and full-HD/240P video,High definition 1.62-million-dot LCD monitor,Upgraded AUTO shooting mode",Fujifilm,https://i.jessops.com/ce-images/product/product_enlarged/afujicm175373950.jpg,https://www.jessops.com/p/Fujifilm/X-T30-II-Mirrorless-Camera-Body-in-Silver-196922,£799.00,Fujifilm X-T30 II Mirrorless Camera Body in Silver
"Inspired by the Nikon FM2 SLR film camera,20.9 MP DX-format CMOS sensor,EXPEED 6 image processor,4K video recording,3-inch vari-angle touchscreen",Nikon,https://i.jessops.com/ce-images/product/product_enlarged/anikocm185372767.jpg,https://www.jessops.com/p/Nikon/Z-fc-Mirrorless-Camera-with-Nikkor-Z-DX-16-50mm-f3.5-6.3-Lens-195953,£989.00,Nikon Z fc Mirrorless Camera with Nikkor Z DX 16-50mm f/3.5-6.3 Lens
"24.2 -megapixel APS-C senor,Dual Pixel CMOS AF II,15fps continuous shooting (mechanical),4K 60p and oversampled 4K 30p video from 6K,Movie Digital IS",Canon,https://i.jessops.com/ce-images/product/product_enlarged/acanocm195378158.jpg,https://www.jessops.com/p/Canon/EOS-R10-Mirrorless-Camera-with-RF-S-18-45mm-F4.5-6.3-IS-STM-Lens-200447,£999.00,Canon EOS R10 Mirrorless Camera with RF-S 18-45mm F4.5-6.3 IS STM Lens
"26.1MP X-Trans CMOS 4 sensor,High speed X-Processor 4 processing engine,4K/30P and full-HD/240P video,High definition 1.62-million-dot LCD monitor,Upgraded AUTO shooting mode",Fujifilm,https://i.jessops.com/ce-images/product/product_enlarged/afujicm175373954.jpg,https://www.jessops.com/p/Fujifilm/X-T30-II-Mirrorless-Camera-in-Silver-with-XF18-55mm-Lens-196911,"£1,199.00",Fujifilm X-T30 II Mirrorless Camera in Silver with XF18-55mm Lens
"Full frame 24.2 megapixel CMOS sensor,Dual Pixel CMOS AF II,Up to 8-stop Image Stabiliser,Oversampled 4K 60p video or 6K RAW,40fps electronic shutter",Canon,https://i.jessops.com/ce-images/product/product_enlarged/acanocm195380050.jpg,https://www.jessops.com/p/Canon/EOS-R6-Mark-II-Mirrorless-Camera-with-RF-24-105-F4-7.1-IS-STM-Lens-202110,"£3,129.00",Canon EOS R6 Mark II Mirrorless Camera with RF 24-105 F4-7.1 IS STM Lens
"Full-frame,24.3-megapixels,5-axis image stabilization,BIONZ X image processing engine,Enhanced Fast Hybrid AF",Sony,https://i.jessops.com/ce-images/product/product_enlarged/asonycm175275788.jpg,https://www.jessops.com/p/Sony/a7-MKII-Mirrorless-Camera-Body-95132,£899.00,Sony a7 MKII Mirrorless Camera Body
"24.2-megapixel APS-C Exmor CMOS image sensor,Fast 0.02 sec.AF performance,4K HDR (HLG) movies,,Real-time Tracking and Real-time Eye AF,Built-in 5-axis optical image stabilisation",Sony,https://i.jessops.com/ce-images/product/product_enlarged/asonycm195352383.jpg,https://www.jessops.com/p/Sony/A6600-Mirrorless-Camera-Body-178059,"£1,249.00",Sony A6600 Mirrorless Camera Body
